"","Plot","Yr","dwdC.tacre","dwdC.gm2","dwdC.Mgha","AGunderstoryC.tacre","BGunderstoryC.tacre","AGunderstoryC.gm2","BGunderstoryC.gm2","AGunderstoryC.Mgha","BGunderstoryC.Mgha","litterC.tacre","litterC.gm2","litterC.Mgha","foresttype"
"2876",50645,2019,5.219947,1170.15551899,11.7015551899,1.061406,0.117934,237.93538302,26.43726478,2.3793538302,0.2643726478,11.437646,2563.97710382,25.6397710382,"alaska-yellow-cedar"
"2877",50653,1997,2.491264,558.46665088,5.5846665088,1.360176,0.151131,304.91065392,33.87903627,3.0491065392,0.3387903627,12.267356,2749.97319452,27.4997319452,"western-hemlock"
"2878",50653,2008,5.841477,1309.48389909,13.0948389909,1.154378,0.128264,258.77691626,28.75294088,2.5877691626,0.2875294088,14.893087,3338.58331279,33.3858331279,"western-hemlock"
"2879",50653,2019,7.43732,1667.2240244,16.672240244,1.0814995,0.1201665,242.439742915,26.937724305,2.42439742915,0.26937724305,14.06663,3153.3164471,31.533164471,"western-hemlock"
"2880",50687,1997,3.7305477081,836.276879724777,8.36276879724777,0.2659552335,0.0295505181,59.619184693695,6.624339642477,0.59619184693695,0.06624339642477,6.8427490347,1533.9390511087,15.339390511087,"western-hemlock"
"2881",50687,2010,3.994207147086,895.381416162269,8.95381416162269,0.182152215723,0.020239174965,40.8330621986249,4.53701585190405,0.408330621986249,0.0453701585190405,2.603217730821,583.563318718144,5.83563318718144,"western-hemlock"
"2882",50689,1995,13.72782,3077.3654094,30.773654094,0.922196,0.102466,206.72867732,22.96980322,2.0672867732,0.2296980322,29.692549,6656.17870933,66.5617870933,"western-hemlock"
"2883",50689,2006,3.611693,809.63321981,8.0963321981,1.884135,0.209348,422.36654295,46.92954116,4.2236654295,0.4692954116,8.677946,1945.33515482,19.4533515482,"western-hemlock"
"2884",50689,2017,1.93975875,434.8357189875,4.348357189875,1.41310125,0.157011,316.7749072125,35.19715587,3.167749072125,0.3519715587,6.4605645,1448.264743965,14.48264743965,"western-hemlock"
"2885",50767,1997,3.68202,825.3984234,8.253984234,1.123637,0.124849,251.88570629,27.98740033,2.5188570629,0.2798740033,20.11793,4509.8363681,45.098363681,"alaska-yellow-cedar"
"2886",50767,2007,4.362456,977.93176152,9.7793176152,1.092969,0.121441,245.01086073,27.22342897,2.4501086073,0.2722342897,11.147249,2498.87880833,24.9887880833,"alaska-yellow-cedar"
"2887",50767,2018,4.186061,938.38929437,9.3838929437,1.100305,0.122256,246.65537185,27.40612752,2.4665537185,0.2740612752,11.361864,2546.98905288,25.4698905288,"alaska-yellow-cedar"
"2888",50772,2011,9.634833,2159.84051361,21.5984051361,0.68689875,0.07632225,153.9820927875,17.1091587825,1.539820927875,0.171091587825,11.34447825,2543.0916893025,25.430916893025,"mountain-hemlock"
"2889",50794,1996,19.157365,4294.50651205,42.9450651205,0.874363,0.097151,196.00595371,21.77833967,1.9600595371,0.2177833967,26.711448,5987.90529816,59.8790529816,"sitka-spruce"
"2890",50794,2006,36.075156,8086.96772052,80.8696772052,1.646627,0.182959,369.12437459,41.01391903,3.6912437459,0.4101391903,13.742385,3080.63044545,30.8063044545,"sitka-spruce"
"2891",50794,2017,38.545827,8640.81803859,86.4081803859,1.759404,0.195489,394.40559468,43.82276913,3.9440559468,0.4382276913,13.646019,3059.02807923,30.5902807923,"sitka-spruce"
"2892",50851,1995,2.445433,548.19271561,5.4819271561,2.206471,0.245163,494.62460407,54.95818971,4.9462460407,0.5495818971,9.198551,2062.03917767,20.6203917767,"western-hemlock"
"2893",50851,2010,4.896337,1097.61186529,10.9761186529,1.231032,0.136781,275.96044344,30.66219677,2.7596044344,0.3066219677,11.852454,2656.96461318,26.5696461318,"western-hemlock"
"2894",50900,1999,2.2968526406,514.885456443302,5.14885456443302,1.1532269224,0.1281365372,258.518879194408,28.724367544124,2.58518879194408,0.28724367544124,18.450275823,4135.99833124191,41.3599833124191,"mountain-hemlock"
"2895",50900,2009,1.6559911452,371.223535019484,3.71223535019484,1.2164355672,0.1351598262,272.688361099224,30.298778239254,2.72688361099224,0.30298778239254,9.785922916,2193.71034007972,21.9371034007972,"mountain-hemlock"
"2896",50900,2020,1.775583149931,398.032474720032,3.98032474720032,1.127902924755,0.125322245442,252.841998642328,28.0934877607331,2.52841998642328,0.280934877607331,9.838754936478,2205.55369411027,22.0555369411027,"mountain-hemlock"
"2897",50937,1998,5.311,1190.56687,11.9056687,1.133814,0.125979,254.16708438,28.24071243,2.5416708438,0.2824071243,30.41685,6818.5452645,68.185452645,"western-hemlock"
"2898",50937,2011,9.099604,2039.85822868,20.3985822868,1.008498,0.112055,226.07499666,25.11936935,2.2607499666,0.2511936935,12.799068,2869.16707356,28.6916707356,"western-hemlock"
"2899",50962,1999,1.759175,394.35425975,3.9435425975,1.458,0.162,326.83986,36.31554,3.2683986,0.3631554,19.955567,4473.43945439,44.7343945439,"sitka-spruce"
"2900",50962,2007,4.627093,1037.25543781,10.3725543781,1.168474,0.12983,261.93681658,29.1039911,2.6193681658,0.291039911,17.179675,3851.16774475,38.5116774475,"sitka-spruce"
"2901",50962,2018,1.245881,279.28914377,2.7928914377,1.632288,0.181365,365.91000096,40.65659205,3.6591000096,0.4065659205,13.582279,3044.73948343,30.4473948343,"sitka-spruce"
"2902",50966,1995,2.313107,518.52919619,5.1852919619,1.212356,0.134706,271.77384452,30.19704402,2.7177384452,0.3019704402,20.913986,4688.28824162,46.8828824162,"mountain-hemlock"
"2903",50966,2013,3.05055,683.8417935,6.838417935,1.158627,0.128736,259.72941459,28.85874912,2.5972941459,0.2885874912,11.981368,2685.86326456,26.8586326456,"mountain-hemlock"
"2904",50985,1998,3.101966,695.36771822,6.9536771822,1.22972,0.136636,275.6663324,30.62969212,2.756663324,0.3062969212,4.637524,1039.59375508,10.3959375508,"paper-birch"
"2905",50985,2005,7.980226,1788.92726242,17.8892726242,1.001429,0.11127,224.49033893,24.9433959,2.2449033893,0.249433959,9.739829,2183.37746693,21.8337746693,"paper-birch"
"2906",50985,2016,10.290424,2306.80434808,23.0680434808,0.944656,0.104962,211.76353552,23.52933154,2.1176353552,0.2352933154,7.319679,1640.85244143,16.4085244143,"paper-birch"
"2907",50996,1996,2.516958,564.22647486,5.6422647486,0.85549275,0.095055,191.7758097675,21.30847935,1.917758097675,0.2130847935,16.1935875,3630.116509875,36.30116509875,"alaska-yellow-cedar"
"2908",50996,2010,5.6087045,1257.303287765,12.57303287765,1.0722035,0.11913375,240.355858595,26.7062127375,2.40355858595,0.267062127375,9.9640325,2233.637165525,22.33637165525,"alaska-yellow-cedar"
"2909",51147,1998,4.526317,1014.66448189,10.1466448189,1.086148,0.120683,243.48179716,27.05350811,2.4348179716,0.2705350811,20.799577,4662.64117609,46.6264117609,"alaska-yellow-cedar"
"2910",51161,1999,7.856607,1761.21559119,17.6121559119,0.992373,0.110264,222.46025541,24.71788088,2.2246025541,0.2471788088,20.600275,4617.96364675,46.1796364675,"mountain-hemlock"
"2911",51161,2004,12.484309,2798.60754853,27.9860754853,0.919907,0.102212,206.21555219,22.91286404,2.0621555219,0.2291286404,14.035343,3146.30284031,31.4630284031,"mountain-hemlock"
"2912",51161,2015,14.098166,3160.38587222,31.6038587222,0.901883,0.100209,202.17511211,22.46385153,2.0217511211,0.2246385153,14.117504,3164.72087168,31.6472087168,"mountain-hemlock"
"2913",51236,2008,3.088438,692.33514646,6.9233514646,1.884135,0.209348,422.36654295,46.92954116,4.2236654295,0.4692954116,8.71478,1953.5922326,19.535922326,NA
"2914",51255,1999,0.196955,44.15140235,0.4415140235,1.766884,0.19632,396.08238628,44.0090544,3.9608238628,0.440090544,3.211817,719.99301689,7.1999301689,"nonstocked"
"2915",51255,2007,2.533337,567.89815529,5.6789815529,1.884135,0.209348,422.36654295,46.92954116,4.2236654295,0.4692954116,10.424355,2336.82766035,23.3682766035,"nonstocked"
"2916",51255,2018,2.967465,665.21662905,6.6521662905,1.552326,0.172481,347.98491942,38.66506577,3.4798491942,0.3866506577,11.491995,2576.16051915,25.7616051915,"nonstocked"
"2917",51278,2000,4.28266525,960.0450690925,9.600450690925,1.121848,0.12465,251.48466616,27.9427905,2.5148466616,0.279427905,18.04485325,4045.1147530525,40.451147530525,"mountain-hemlock"
